bahan baku;jan;feb;mart;april;mei;jun
Nasi Timbel ;559;499;574;421;486;481
Nasi Tutug Oncom Polos;501;461;591;427;458;465
Nasi Tutug Oncom Polos Goreng;204;191;211;231;197;175
Nasi Bakar ;430;418;408;467;399;375
Nasi Merah;363;338;391;451;334;313
Nasi Goreng Spesial Bumbu Sunda;198;201;213;207;199;198
Paket 1 ;986;962;883;855;969;962
Paket 2;757;717;706;647;721;690
Paket 3 ;1425;1468;1302;1259;1532;1486
Paket 4;1130;1136;1018;1014;1194;1177
Paket 5;739;684;678;843;666;642
Paket 6;672;639;626;599;680;700
Paket 7;739;597;657;684;672;690
Paket 8;590;455;492;577;430;424
Paket 9;1946;1583;1626;1655;1609;1641
Paket 10;3567;3238;3118;3147;3482;3424
Paket A;2206;1911;1817;2168;1983;1926
Paket B;273;368;272;339;401;489
Paket C;1863;1607;1687;1742;1662;1584
Paket D ;1920;1718;1665;1680;1644;1540
Sop Ikan Gurame;303;192;335;316;211;243
Sayur Asem ;412;373;393;364;409;431
Karedok Bandung ;475;395;513;391;394;386
Gepuk Khas Bumbu Sunda;376;323;319;355;325;324
Ayam Goreng ;571;577;520;526;572;594
Ayam Bakar;825;807;805;825;841;844
Gurame Goreng;141;124;149;129;127;139
Gurame Bakar ;171;146;164;147;150;150
Gurame Asam Manis ;178;161;162;193;171;155
Ikan Mas Goreng;347;314;307;309;320;315
Ikan Mas Bakar ;330;316;326;310;334;326
Ikan Nila Goreng ;399;376;352;395;362;366
Ikan Nila Bakar ;394;336;358;363;342;338
Ikan Asin Jambal Roti ;324;274;297;313;281;277
Tahu Goreng Bandung ;180;213;194;181;224;219
Tempe Bacem ;162;157;165;155;164;167
Dadar Telor / Ceplok Telor ;356;384;388;391;419;419
Perkedel Jagung ;1346;1197;1180;1029;1218;1288
Kerupuk ;583;610;805;575;673;699
Sambal ;147;137;241;124;142;146
Wingko ;1397;1175;1173;1197;1240;1228
Pecak Ikan Nila;126;80;113;82;79;84
Pecak Ikan Mas ;109;103;137;101;103;111
Paket 11 ;172;137;260;166;152;152
Paket 12;200;159;177;210;176;185
Paket 13 ;250;224;221;219;226;234
Paket 14;140;126;117;98;127;163
Paket 15;73;78;85;60;83;92
Paket 16;137;118;122;105;119;119
Paket 17;114;107;104;96;109;97
Paket 18 ;187;162;178;175;162;142
Sate Maranggi;169;145;162;138;163;190
Kremesan ;64;49;42;39;39;41
Ayam Kremes Ekoran;159;137;151;136;143;150
Ayam Kremes;307;273;296;290;289;304
Cemilan;488;435;452;413;454;475
Teh Tawar;3384;3030;3232;3250;3073;3130
Es Teh Manis;1282;1175;1244;1169;1294;1383
Es Jeruk;744;631;690;697;621;621
Es Teh Tawar;461;427;437;392;429;417
Teh Botol;331;265;378;362;342;405
Mineral;850;669;909;928;794;861
Air Es;125;130;111;117;113;93
Kopi;55;44;39;36;42;44
Es Batu;93;103;77;92;81;80
Aneka Jus;378;341;355;329;354;376
Es Buah ;312;282;286;297;285;290
