No;Bahan baku;Minggu 1;Minggu 2;Minggu 3;Minggu 4;;;;;;;;;;;;;;;;;;;;
1;Ayam;2687;3365;3351;4869;;;;;;;;;;;;;;;;;;;;
2;Gepuk;802;1022;989;1469;;;;;;;;;;;;;;;;;;;;
3;Ikan asin;75;63;53;122;;;;;;;;;;;;;;;;;;;;
4;Ikan Gurame;218;145;112;310;;;;;;;;;;;;;;;;;;;;
5;Ikan mas;242;315;290;472;;;;;;;;;;;;;;;;;;;;
6;Ikan nila;194;230;178;336;;;;;;;;;;;;;;;;;;;;
7;Kerupuk;73;186;162;154;;;;;;;;;;;;;;;;;;;;
8;Perkedel;199;253;269;308;;;;;;;;;;;;;;;;;;;;
9;Sate maranggi;80;97;58;113;;;;;;;;;;;;;;;;;;;;
10;Tahu;21;53;50;57;;;;;;;;;;;;;;;;;;;;
11;telor;107;151;106;193;;;;;;;;;;;;;;;;;;;;
12;Tempe;30;37;36;52;;;;;;;;;;;;;;;;;;;;
13;Wingko;207;286;312;392;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
